,mcp_0,mcp_1,mcp_2,mcp_3,mcp_4,mcp_5
AT1,0.9838562527246428,0.9323719010141166,0.9815305173972504,0.697733418369135,0.9854536695712107,0.9999686051166095
AT2,0.9838562527246428,0.959037480434459,0.9815305173972504,0.9769124821171105,0.9854536695712107,0.9999686051166095
Aberrant Basaloid,0.9838562527246428,0.9323719010141166,0.9815305173972504,0.62511985093346,0.9854536695712107,0.9999686051166095
Basal,0.9838562527246428,0.9400586158580375,0.9815305173972504,0.697733418369135,0.9854536695712107,0.9999686051166095
Ciliated,0.9838562527246428,0.9323719010141166,0.9815305173972504,0.62511985093346,0.9854536695712107,0.9999686051166095
Secretory,0.9838562527246428,0.9323719010141166,0.9815305173972504,0.697733418369135,0.9854536695712107,0.9999686051166095
capillary EC,0.9838562527246428,0.9323719010141166,0.9815305173972504,0.7235439698122291,0.9854536695712107,0.9999686051166095
ectopic EC,0.9838562527246428,0.9323719010141166,0.9815305173972504,0.697733418369135,0.9854536695712107,0.9999686051166095
lymphatic EC,0.9838562527246428,0.9323719010141166,0.9815305173972504,0.697733418369135,0.9854536695712107,0.9999686051166095
Fibroblasts,0.9838562527246428,0.9323719010141166,0.9815305173972504,0.62511985093346,0.9854536695712107,0.9999686051166095
Myofibroblasts,0.9838562527246428,0.9323719010141166,0.9815305173972504,0.671072480768001,0.9854536695712107,0.9999686051166095
Pericytes,0.9838562527246428,0.9323719010141166,0.9815305173972504,0.62511985093346,0.9854536695712107,0.9999686051166095
SMC,0.9838562527246428,0.9323719010141166,0.9815305173972504,0.697733418369135,0.9854536695712107,0.9999686051166095
Macrophages,0.9838562527246428,0.959037480434459,0.9815305173972504,0.7183159542781975,0.9854536695712107,0.9999686051166095
SPP1+ Macrophages,0.9838562527246428,0.9323719010141166,0.9815305173972504,0.697733418369135,0.9854536695712107,0.9999686051166095
DC,0.9838562527246428,0.9799209004920626,0.9815305173972504,0.62511985093346,0.9854536695712107,0.9999686051166095
Mast cells,0.9838562527246428,0.9323719010141166,0.9815305173972504,0.62511985093346,0.9854536695712107,0.9999686051166095
B cells,0.9838562527246428,0.9323719010141166,0.9815305173972504,0.62511985093346,0.9854536695712107,0.9999686051166095
Plasma cells,0.9838562527246428,0.9068246089013845,0.9815305173972504,0.62511985093346,0.9854536695712107,0.9999686051166095
T cells,0.9838562527246428,0.9323719010141166,0.9815305173972504,0.5176435974195134,0.9854536695712107,0.9999686051166095
NK cells,0.9838562527246428,0.9323719010141166,0.9922693624979009,0.62511985093346,0.9854536695712107,0.9999686051166095
